angle,speed_l,speed_r,v_pwm,w_pwm
0.000000,55.103111,354818.000000,0.004956,0.078073
0.000000,55.102928,354819.000000,0.004975,-0.036368
0.000000,55.102791,354820.000000,0.005017,-0.028738
0.000000,55.103790,354821.000000,0.005004,0.200144
0.000000,55.104050,354822.000000,0.004767,0.055185
0.000000,55.103390,354823.000000,0.004898,-0.135550
0.000000,55.103249,354824.000000,0.004808,-0.028738
0.000000,55.101360,354825.000000,0.004978,-0.379690
0.000000,55.102070,354826.000000,0.004817,0.146738
0.000000,55.102261,354827.000000,0.004863,0.039926
0.000000,55.103111,354828.000000,0.004996,0.169626
0.000000,55.103271,354829.000000,0.004835,0.032297
0.000000,55.104252,354830.000000,0.004924,0.200144
0.000000,55.105110,354831.000000,0.004830,0.177255
0.000000,55.105110,354832.000000,0.004856,0.001779
0.000000,55.105450,354833.000000,0.005351,0.062815
0.000000,55.106030,354834.000000,0.005357,0.108591
0.000000,55.106449,354835.000000,0.004921,0.085703
0.000000,55.106758,354836.000000,0.004905,0.062815
0.000000,55.106819,354837.000000,0.006213,0.009409
0.000000,55.106750,354838.000000,0.005112,-0.013479
0.000000,55.107441,354839.000000,0.004978,0.139108
0.000000,55.107750,354840.000000,0.004815,0.062815
0.000000,55.107910,354841.000000,0.004928,0.032297
0.000000,55.108139,354842.000000,0.004984,0.047556
0.000000,55.107590,354843.000000,0.004926,-0.112662
0.000000,55.107712,354844.000000,0.004815,0.024668
0.000000,55.108391,354845.000000,0.004941,0.139108
0.000000,55.108742,354846.000000,0.004854,0.070444
0.000000,55.109051,354847.000000,0.004956,0.062815
0.000000,55.109100,354848.000000,0.004978,0.009409
0.000000,55.109810,354849.000000,0.005089,0.139108
0.000000,55.110001,354850.000000,0.004829,0.039926
0.000000,55.110161,354851.000000,0.004904,0.032297
0.000000,55.110359,354852.000000,0.004896,0.039926
0.000000,55.110611,354853.000000,0.005432,0.047556
0.000000,55.110210,354854.000000,0.004952,-0.082144
0.000000,55.109928,354855.000000,0.006208,-0.043997
0.000000,55.109940,354856.000000,0.005033,0.001779
0.000000,55.110142,354857.000000,0.004998,0.039926
0.000000,55.109921,354858.000000,0.004914,-0.043997
0.000000,55.110199,354859.000000,0.004953,0.055185
0.000000,55.110199,354860.000000,0.004917,0.001779
0.000000,55.109612,354861.000000,0.004939,-0.120291
0.000000,55.109470,354862.000000,0.004765,-0.028738
0.000000,55.109440,354863.000000,0.004958,-0.005850
